"provincia_id","provincia_desc","año","recetas_confeccionadas_cantidad"
"14","Cordoba","año_2009",1334520
"18","Corrientes","año_2009",649784
"22","Chaco","año_2009",932141
"26","Chubut","año_2009",210812
"30","Entre Rios","año_2009",630037
"34","Formosa","año_2009",444023
"38","Jujuy","año_2009",369814
"42","La Pampa","año_2009",89395
"46","La Rioja","año_2009",212614
"50","Mendoza","año_2009",639841
"54","Misiones","año_2009",765336
"58","Neuquen","año_2009",90663
"62","Rio Negro","año_2009",149059
"66","Salta","año_2009",680980
"70","San Juan","año_2009",408932
"74","San Luis","año_2009",267765
"78","Santa Cruz","año_2009",37525
"82","Santa Fe","año_2009",985606
"86","Santiago del Estero","año_2009",828425
"90","Tucuman","año_2009",1150297
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2009",36999
"02","Ciudad Autonoma de Buenos Aires","año_2010",198120
"06","Buenos Aires","año_2010",3717661
"10","Catamarca","año_2010",339405
"14","Cordoba","año_2010",1534511
"18","Corrientes","año_2010",784755
"22","Chaco","año_2010",1075859
"26","Chubut","año_2010",252109
"30","Entre Rios","año_2010",775335
"34","Formosa","año_2010",520811
"38","Jujuy","año_2010",439731
"42","La Pampa","año_2010",109770
"46","La Rioja","año_2010",248025
"50","Mendoza","año_2010",666727
"54","Misiones","año_2010",804002
"58","Neuquen","año_2010",137824
"62","Rio Negro","año_2010",178220
"66","Salta","año_2010",763647
"70","San Juan","año_2010",387965
"74","San Luis","año_2010",236281
"78","Santa Cruz","año_2010",47519
"82","Santa Fe","año_2010",1101349
"86","Santiago del Estero","año_2010",1016053
"90","Tucuman","año_2010",1430247
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2010",43133
"02","Ciudad Autonoma de Buenos Aires","año_2011",193631
"06","Buenos Aires","año_2011",3784732
"10","Catamarca","año_2011",347491
"14","Cordoba","año_2011",1537610
"18","Corrientes","año_2011",779029
"22","Chaco","año_2011",1048549
"26","Chubut","año_2011",241036
"30","Entre Rios","año_2011",795493
"34","Formosa","año_2011",503810
"38","Jujuy","año_2011",473069
"42","La Pampa","año_2011",140656
"46","La Rioja","año_2011",221858
"50","Mendoza","año_2011",708735
"54","Misiones","año_2011",760353
"58","Neuquen","año_2011",138340
"62","Rio Negro","año_2011",161012
"66","Salta","año_2011",714824
"70","San Juan","año_2011",377703
"74","San Luis","año_2011",225549
"78","Santa Cruz","año_2011",56846
"82","Santa Fe","año_2011",1229739
"86","Santiago del Estero","año_2011",937358
"90","Tucuman","año_2011",1442128
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2011",42020
"02","Ciudad Autonoma de Buenos Aires","año_2012",205732
"06","Buenos Aires","año_2012",4217160
"10","Catamarca","año_2012",398695
"14","Cordoba","año_2012",1626284
"18","Corrientes","año_2012",828853
"22","Chaco","año_2012",1036246
"26","Chubut","año_2012",249670
"30","Entre Rios","año_2012",814292
"34","Formosa","año_2012",536349
"38","Jujuy","año_2012",507353
"42","La Pampa","año_2012",131178
"46","La Rioja","año_2012",282247
"50","Mendoza","año_2012",745837
"54","Misiones","año_2012",780589
"58","Neuquen","año_2012",183981
"62","Rio Negro","año_2012",183905
"66","Salta","año_2012",786142
"70","San Juan","año_2012",434191
"74","San Luis","año_2012",249614
"78","Santa Cruz","año_2012",60134
"82","Santa Fe","año_2012",1237316
"86","Santiago del Estero","año_2012",1000002
"90","Tucuman","año_2012",1955475
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2012",41199
"02","Ciudad Autonoma de Buenos Aires","año_2013",192521
"06","Buenos Aires","año_2013",4061801
"10","Catamarca","año_2013",425996
"14","Cordoba","año_2013",1688409
"18","Corrientes","año_2013",816393
"22","Chaco","año_2013",1041089
"26","Chubut","año_2013",260098
"30","Entre Rios","año_2013",829542
"34","Formosa","año_2013",514674
"38","Jujuy","año_2013",497031
"42","La Pampa","año_2013",136041
"46","La Rioja","año_2013",285079
"50","Mendoza","año_2013",742326
"54","Misiones","año_2013",783468
"58","Neuquen","año_2013",181165
"62","Rio Negro","año_2013",196830
"66","Salta","año_2013",792792
"70","San Juan","año_2013",432358
"74","San Luis","año_2013",275454
"78","Santa Cruz","año_2013",59924
"82","Santa Fe","año_2013",1242513
"86","Santiago del Estero","año_2013",1040185
"90","Tucuman","año_2013",1626164
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2013",32963
"02","Ciudad Autonoma de Buenos Aires","año_2014",180806
"06","Buenos Aires","año_2014",4082578
"10","Catamarca","año_2014",488126
"14","Cordoba","año_2014",1713857
"18","Corrientes","año_2014",849594
"22","Chaco","año_2014",1055850
"26","Chubut","año_2014",243841
"30","Entre Rios","año_2014",818288
"34","Formosa","año_2014",565384
"38","Jujuy","año_2014",498859
"42","La Pampa","año_2014",154861
"46","La Rioja","año_2014",314045
"50","Mendoza","año_2014",805371
"54","Misiones","año_2014",756128
"58","Neuquen","año_2014",175936
